# Temperature (K), Pressure (MPa), Density (kg/m3), Volume (m3/kg), Internal Energy (kJ/kg), Enthalpy (kJ/kg), Entropy (J/g*K), Cv (J/g*K), Cp (J/g*K), Sound,Spd. (m/s), Joule-Thomson (K/MPa), Viscosity (Pa*s), Therm. Cond. (W/m*K)
130.29,4,280.12,0.0035699,30.334,44.613,4.319,1.1919,15.943,179.32,6.1076,1.7146E-05,0.046502
131.85,4,223.01,0.0044841,43.632,61.569,4.4484,1.0919,7.5747,185.23,7.1906,1.4582E-05,0.035089
133.41,4,197.09,0.0050737,50.843,71.138,4.5206,1.0277,5.0796,191.07,7.5463,1.3673E-05,0.030009
134.98,4,180.79,0.0055313,55.986,78.111,4.5726,0.98539,3.9719,196.01,7.6637,1.3196E-05,0.027159
136.54,4,168.98,0.005918,60.113,83.785,4.6144,0.95514,3.3479,200.35,7.674,1.2902E-05,0.025321
138.1,4,159.74,0.0062601,63.639,88.679,4.65,0.93223,2.9463,204.26,7.628,1.2708E-05,0.02404
139.66,4,152.18,0.0065711,66.763,93.048,4.6815,0.91412,2.6651,207.86,7.5502,1.2576E-05,0.023103
141.22,4,145.79,0.0068591,69.603,97.039,4.7099,0.89935,2.4567,211.22,7.4537,1.2485E-05,0.022396
142.78,4,140.27,0.0071291,72.228,100.74,4.736,0.88698,2.2956,214.38,7.3461,1.2424E-05,0.021853
144.34,4,135.41,0.0073848,74.685,104.22,4.7603,0.87643,2.167,217.37,7.2322,1.2385E-05,0.02143
145.91,4,131.08,0.0076287,77.009,107.52,4.783,0.86728,2.0619,220.23,7.1148,1.2362E-05,0.021097
147.47,4,127.18,0.0078626,79.222,110.67,4.8045,0.85925,1.9743,222.97,6.9959,1.2353E-05,0.020835
149.03,4,123.64,0.0080881,81.344,113.7,4.8249,0.85213,1.9,225.61,6.8769,1.2355E-05,0.020628
150.59,4,120.39,0.0083062,83.387,116.61,4.8443,0.84576,1.8362,228.15,6.7587,1.2365E-05,0.020467
152.15,4,117.4,0.008518,85.362,119.43,4.863,0.84001,1.7807,230.61,6.6419,1.2383E-05,0.020341
153.71,4,114.63,0.008724,87.28,122.18,4.8809,0.8348,1.732,233,6.5268,1.2407E-05,0.020246
155.27,4,112.04,0.0089251,89.146,124.85,4.8982,0.83005,1.689,235.32,6.4137,1.2437E-05,0.020176
156.84,4,109.63,0.0091215,90.967,127.45,4.9149,0.8257,1.6506,237.58,6.3029,1.2471E-05,0.020127
158.4,4,107.37,0.009314,92.747,130,4.9311,0.8217,1.6161,239.78,6.1944,1.2508E-05,0.020095
159.96,4,105.23,0.0095027,94.491,132.5,4.9468,0.81801,1.5851,241.92,6.0883,1.255E-05,0.020079
161.52,4,103.22,0.009688,96.202,134.95,4.962,0.81459,1.5569,244.02,5.9846,1.2594E-05,0.020075
163.08,4,101.32,0.0098702,97.884,137.36,4.9769,0.81142,1.5312,246.07,5.8833,1.2641E-05,0.020083
164.64,4,99.507,0.01005,99.539,139.74,4.9914,0.80847,1.5077,248.08,5.7844,1.269E-05,0.0201
166.2,4,97.787,0.010226,101.17,142.07,5.0055,0.80571,1.4862,250.05,5.6878,1.2742E-05,0.020125
167.77,4,96.148,0.010401,102.78,144.38,5.0193,0.80314,1.4663,251.98,5.5936,1.2795E-05,0.020158
169.33,4,94.584,0.010573,104.36,146.65,5.0328,0.80073,1.4479,253.88,5.5016,1.285E-05,0.020197
170.89,4,93.088,0.010743,105.93,148.9,5.046,0.79848,1.4309,255.74,5.4119,1.2906E-05,0.020242
172.45,4,91.655,0.01091,107.48,151.12,5.0589,0.79635,1.4151,257.57,5.3243,1.2964E-05,0.020291
174.01,4,90.28,0.011077,109.01,153.32,5.0716,0.79436,1.4004,259.37,5.2388,1.3023E-05,0.020346
175.57,4,88.96,0.011241,110.53,155.5,5.0841,0.79248,1.3866,261.14,5.1553,1.3083E-05,0.020404
177.13,4,87.691,0.011404,112.04,157.65,5.0963,0.7907,1.3737,262.89,5.0739,1.3144E-05,0.020465
178.7,4,86.468,0.011565,113.53,159.79,5.1083,0.78903,1.3616,264.61,4.9943,1.3206E-05,0.02053
180.26,4,85.29,0.011725,115.01,161.9,5.1201,0.78744,1.3503,266.31,4.9166,1.3269E-05,0.020597
181.82,4,84.153,0.011883,116.47,164,5.1317,0.78594,1.3396,267.98,4.8406,1.3333E-05,0.020667
183.38,4,83.055,0.01204,117.93,166.09,5.1431,0.78452,1.3295,269.63,4.7665,1.3397E-05,0.020739
184.94,4,81.994,0.012196,119.37,168.16,5.1543,0.78317,1.32,271.26,4.694,1.3462E-05,0.020813
186.5,4,80.967,0.012351,120.81,170.21,5.1654,0.78188,1.311,272.86,4.6231,1.3527E-05,0.020889
188.06,4,79.972,0.012504,122.23,172.25,5.1763,0.78066,1.3025,274.45,4.5538,1.3593E-05,0.020966
189.63,4,79.008,0.012657,123.65,174.28,5.187,0.7795,1.2944,276.02,4.4861,1.366E-05,0.021046
191.19,4,78.074,0.012808,125.06,176.29,5.1976,0.7784,1.2867,277.57,4.4199,1.3727E-05,0.021126
192.75,4,77.166,0.012959,126.46,178.3,5.208,0.77735,1.2794,279.1,4.355,1.3794E-05,0.021208
